lemma,id_slovo
diskutovat,542
důvěra,543
Geert,544
hlasování,545
hmotný,546
informace,547
jiri,548
jmenovat,549
kolo,550
komentář,551
KSČM,552
manipulace,553
mediální,554
minuta,555
mzda,556
někdy,557
Němec,558
neziskovek,559
nominace,560
normální,561
oba,562
odpověď,563
odvolatelnost,564
oslava,565
Ostrava,566
otevřený,567
pále,568
parlamentní,569
podepsat,570
podívat,571
pomoci,572
pracovní,573
předvolební,574
přes,575
přijímat,576
rozum,577
růst,578
Salvini,579
samozřejmě,580
sedět,581
skoro,582
skutečný,583
spolu,584
správný,585
terorismus,586
tweet,587
tým,588
uctít,589
území,590
většina,591
vlna,592
vražda,593
vůči,594
vždycky,595
zahalování,596
zápas,597
zaplatit,598
zisk,599
zive,600
zjistit,601
50,602
abychom,603
bohužel,604
chovanec,605
či,606
daňový,607
dávka,608
držení,609
FilipHorka,610
hrdý,611
ideologie,612
jednou,613
kauza,614
klub,615
kluk,616
kubik,617
Maďarsko,618
možný,619
obyvatel,620
odborník,621
omezení,622
ovšem,623
palec,624
pěkný,625
pirát,626
plný,627
policie,628
přece,629
přijmout,630
propagace,631
rada,632
reakce,633
šance,634
schopný,635
senátor,636
sice,637
školství,638
skončit,639
slib,640
soustrast,641
spravedlnost,642
stara,643
takzvaný,644
televizní,645
tolik,646
tomio,647
událost,648
umět,649
USA,650
včerejší,651
Veleba,652
vlastně,653
vysvětlit,654
zamítnout,655
zas,656
zásadní,657
zatím,658
zdravotní,659
zúčastnit,660
19,661
25,662
30,663
AB,664
akt,665
bezpečný,666
Brusel,667
brutální,668
brzy,669
budoucnost,670
chodit,671
chystat,672
CSSD,673
divit,674
Donald,675
držet,676
důkaz,677
fašismus,678
hnízdo,679
imigrační,680
jednat,681
kandidátka,682
KDU,683
kdyby,684
kolega,685
koruna,686
koupit,687
krok,688
kromě,689
kultura,690
kvóta,691
lhář,692
mezinárodní,693
Milan,694
ministerstvo,695
mluvčí,696
Morava,697
mrzout,698
nacismus,699
naopak,700
naživo,701
odkaz,702
odvolání,703
ohledně,704
OSN,705
oznámit,706
pamatovat,707
paulczynsk,708
Plzeň,709
pomoc,710
poslat,711
pouze,712
přijetí,713
připomínat,714
přizpůsobivý,715
průzkum,716
ptát,717
rádio,718
radost,719
rekordní,720
řídit,721
rozdíl,722
rozhodnutí,723
ruský,724
situace,725
Skopecek,726
SlechtovaKarel,727
smět,728
smysl,729
soud,730
společně,731
správně,732
stále,733
stanovisko,734
světový,735
the,736
trest,737
Trump,738
Turecko,739
určitě,740
vést,741
volný,742
vyhrát,743
vyjádřit,744
vystoupit,745
zaměstnanec,746
zapomenout,747
zastavit,748
znít,749
zvíře,750
zvyšování,751
=,752
14,753
15,754
17,755
200,756
22,757
agent,758
akorát,759
americký,760
arogantní,761
bezpečnost,762
bývalý,763
Čapí,764
Čechy,765
chlap,766
chudý,767
chybět,768
článek,769
ČSL,770
dařit,771
dneska,772
dost,773
dotace,774
dozvědět,775
dům,776
echo,777
ekonomika,778
falešný,779
FB,780
Fiala,781
financování,782
FLutonsky,783
Francie,784
francouzský,785
geniální,786
Havířov,787
historie,788
hlasovat,789
hlupák,790
hodnota,791
hokej,792
hymna,793
iDNEScz,794
islamizace,795
Itálie,796
italský,797
jistě,798
kancelář,799
km`kilometr,800
komise,801
komunální,802
komunista,803
krev,804
krize,805
lhát,806
lidovec,807
lidský,808
M,809
majetek,810
Marek,811
michat,812
místopředseda,813
nadále,814
například,815
nést,816
obrana,817
ohrožovat,818
okundra,819
pán,820
PavelBelobradek,821
pivo,822
počítat,823
podařit,824
posílat,825
poslanecký,826
poslankyně,827
přijet,828
případ,829
přítel,830
probruselský,831
prosit,832
Rath,833
Roman,834
ruka,835
šéf,836
selhání,837
skandální,838
Slavia,839
slyšet,840
snažit,841
soutěž,842
spolupráce,843
spousta,844
stav,845
svatý,846
teroristický,847
totiž,848
tradice,849
Tvrdík,850
tvrdý,851
ústavní,852
večer,853
vedení,854
vliv,855
vstup,856
výzva,857
vždy,858
žádat,859
zajímat,860
zakázat,861
zamrazení,862
zástupce,863
zdraví,864
Zprava,865
způsob,866
zrušení,867
zůstat,868
zvolený,869
…,870
2019,871
23,872
28,873
9.2018,874
agentura,875
arabský,876
auto,877
během,878
blízký,879
březen,880
černý,881
československý,882
Čína,883
cizinec,884
členství,885
dále,886
daleko,887
demokrat,888
dětský,889
diskuse,890
dojít,891
Dominik,892
domluvit,893
Drahoš,894
drahý,895
důchodce,896
důvod,897
džihád,898
etabery,899
euro,900
Euro,901
evidentně,902
expert,903
faktum,904
frakce,905
fungovat,906
hejtman,907
holka,908
hra,909
hrozit,910
imigrace,911
in,912
J,913
JakubJand,914
jakýkoliv,915
Japonec,916
jelikož,917
JelinekL,918
JStredula,919
kam,920
kancléřka,921
kardinál,922
Kdyby,923
kvalita,924
láska,925
legální,926
liga,927
likvidace,928
Limberský,929
loď,930
lž,931
lze,932
Michal,933
milý,934
mimo,935
možnost,936
náhrada,937
naprostý,938
nárůst,939
navíc,940
návštěva,941
několik,942
nemocnice,943
nenávist,944
nepřítel,945
noc,946
nyní,947
obvod,948
ochrana,949
opakovat,950
osobní,951
ostatní,952
Pavel,953
podmínka,954
podnikatel,955
podpis,956
pohled,957
pokus,958
položit,959
poslouchat,960
post,961
postavit,962
postoj,963
potravina,964
pozitivní,965
pozvánka,966
pracující,967
prezidentský,968
přijatelný,969
příjem,970
příspěvek,971
prosadit,972
Radiozurnal,973
realita,974
Reporter,975
řízení,976
robertzaruba,977
rozumět,978
Rus,979
samý,980
šílený,981
skandál,982
škoda,983
skupina,984
SlavekSobotek,985
slovenský,986
složka,987
smrt,988
sobota,989
sorry,990
stan,991
stopa,992
střet,993
super,994
suverenita,995
svátek,996
Svoboda,997
téma,998
těšit,999
titul,1000
tolerance,1001
tomassyrovatka,1002
totální,1003
trestní,1004
Trumpa,1005
trvat,1006
twitter,1007
účast,1008
účet,1009
úcta,1010
úředník,1011
uvést,1012
vážně,1013
velikonoce,1014
vězení,1015
vítěz,1016
vládnout,1017
voják,1018
vrátit,1019
všimnout,1020
vyjádření,1021
vyjít,1022
vystupovat,1023
vztah,1024
weba,1025
začínat,1026
zadarmo,1027
zahraničí,1028
zak,1029
zároveň,1030
zásadně,1031
zasloužit,1032
zavedení,1033
zoufalý,1034
zpátky,1035
zrušit,1036
007,1037
09,1038
16,1039
2013,1040
21,1041
27,1042
35,1043
abych,1044
aktivní,1045
Aktualnecz,1046
aktuální,1047
AlexandrResko,1048
aneb,1049
argument,1050
barva,1051
básník,1052
bílý,1053
blbý,1054
blízko,1055
bránit,1056
část,1057
často,1058
Československo,1059
chudák,1060
dluh,1061
dohoda,1062
dokázat,1063
dokonce,1064
doktor,1065
domov,1066
doslova,1067
droga,1068
dvojí,1069
Faltýnek,1070
fanoušek,1071
fb,1072
finanční,1073
hájit,1074
Hašek,1075
historický,1076
Hitler,1077
Honzejk,1078
Hospodark,1079
hovno,1080
hrozba,1081
humor,1082
integrace,1083
invaze,1084
investor,1085
Ivan,1086
jednoduchý,1087
jistý,1088
josefeff,1089
kamarád,1090
Kamberak,1091
Karel,1092
katastrofa,1093
Kč,1094
kdysi,1095
klíčový,1096
kokot,1097
kolej,1098
komentovat,1099
Konvička,1100
korektní,1101
krátký,1102
křesťanský,1103
kritizovat,1104
letos,1105
ležet,1106
Lidice,1107
lídr,1108
list,1109
LN,1110
lobbista,1111
Matteo,1112
Mgr,1113
migrační,1114
